FSMtype	States	Inputs	Outputs	Reduced	StronglyConnected	AccessSmax	AccessSmean	AccessSmedian	AccessSvariance	SepSmax	SepSmean	SepSmedian	SepSvariance	noSVS	SVSmax	SVSmean	SVSmedian	SVSvariance	ADSmax	ADSmean	ADSmedian	ADSvariance
4	10	2	2	1	1	5	2.800000	3.500000	2.760000	2	1.111111	1.000000	0.098765	1	4	3.000000	2.000000	0.444444	-1	-1	-1	-1	DFA_R10_cPUVL.fsm
4	10	2	2	1	1	5	2.700000	4.500000	2.010000	3	1.155556	1.000000	0.175802	0	6	3.200000	3.000000	1.160000	6	4.000000	4.000000	1.600000	DFA_R10_DKhpH.fsm
4	10	2	2	1	1	4	2.100000	3.000000	1.290000	3	1.200000	1.000000	0.204444	1	4	3.111111	3.000000	0.320988	-1	-1	-1	-1	DFA_R10_dSduZ.fsm
4	10	2	2	1	1	4	2.200000	2.000000	1.560000	2	1.044444	1.000000	0.042469	0	4	3.200000	3.500000	0.160000	5	3.800000	3.500000	0.560000	DFA_R10_Ec5ee.fsm
4	10	2	2	1	1	7	3.100000	4.500000	4.890000	2	1.177778	2.000000	0.146173	0	5	3.200000	4.000000	0.760000	5	3.600000	3.500000	0.840000	DFA_R10_EMtUk.fsm
4	10	2	2	1	1	5	2.300000	3.500000	2.010000	3	1.266667	2.000000	0.240000	1	4	2.777778	2.000000	0.395062	-1	-1	-1	-1	DFA_R10_eZHEL.fsm
4	10	2	2	1	1	6	2.600000	4.500000	3.240000	2	1.111111	2.000000	0.098765	1	4	3.333333	4.000000	0.444444	-1	-1	-1	-1	DFA_R10_fblz2.fsm
4	10	2	2	1	1	6	3.400000	4.500000	3.640000	3	1.177778	2.000000	0.190617	1	4	3.111111	2.000000	0.543210	-1	-1	-1	-1	DFA_R10_FDCEZ.fsm
4	10	2	2	1	1	4	2.100000	2.500000	1.290000	4	1.333333	1.000000	0.488889	0	5	4.000000	4.000000	0.600000	8	6.100000	6.000000	1.690000	DFA_R10_fICo0.fsm
4	10	2	2	1	1	5	2.500000	4.000000	2.250000	3	1.133333	1.000000	0.160000	1	4	3.111111	3.000000	0.543210	-1	-1	-1	-1	DFA_R10_fOKJ3.fsm
